date,t2ge_bm90,t2ge_baseline,t1_bm60,t1_baseline,bench,longbyungi,yangbyungi,goldenbyungi
2018-06-04,100000.0,100000.0,100000.0,100000.0,12.04,99848.3,99892.06,100000.0
2018-06-05,100661.89,100661.89,100661.89,100661.89,12.2,100509.18,100246.99,100000.0
2018-06-06,100873.98,100873.98,100873.98,100873.98,12.44,100720.95,100405.4,101072.84
2018-06-07,101031.31,101031.31,101031.31,101031.31,12.1,100878.04,100525.65,101230.49
2018-06-08,101031.31,101031.31,101031.31,101031.31,11.78,100878.04,100525.65,101230.49
2018-06-11,99283.82,99283.82,99283.82,99283.82,11.69,99133.21,99306.81,100180.4
2018-06-12,99963.17,99963.17,99963.17,99963.17,11.88,99811.53,99669.57,100992.73
2018-06-13,97988.08,97988.08,97988.08,97988.08,11.83,97839.42,98289.35,99704.47
2018-06-14,98086.81,98086.81,98086.81,98086.81,12.04,97938.01,98105.71,100445.46
2018-06-15,96121.14,96121.14,96121.14,96121.14,12.0,95975.32,97199.57,99118.54
2018-06-18,94038.64,94038.64,94038.64,94038.64,11.65,93895.98,95732.82,96971.09
2018-06-19,94038.64,94038.64,94038.64,94038.64,11.25,93895.98,95732.82,96910.25
2018-06-20,94038.64,94038.64,94038.64,94038.64,11.41,93895.98,95732.82,99065.7
2018-06-21,94038.64,94038.64,94038.64,94038.64,10.98,93895.98,95767.48,99065.7
2018-06-22,94038.64,94038.64,94038.64,94038.64,10.73,93895.98,95126.61,99065.7
2018-06-25,93654.54,93654.54,94038.64,94038.64,9.78,93895.98,94738.07,99065.7
2018-06-26,93182.83,93182.83,94038.64,94038.64,9.88,93895.98,94260.89,99065.7
2018-06-27,94160.35,94160.35,94038.64,94038.64,9.16,93895.98,95249.72,89724.98
2018-06-28,95298.72,95298.72,93445.84,93445.84,9.38,95169.18,96401.27,89159.38
2018-06-29,94580.31,94580.31,90791.01,90791.01,9.43,94102.43,95674.55,86626.33
2018-07-02,94888.55,94888.55,90501.89,90501.89,9.6,94222.81,95986.35,86350.47
2018-07-03,95795.49,95795.49,91113.42,91113.42,9.07,95123.39,96870.46,86933.95
2018-07-05,98522.0,98522.0,91113.42,91113.42,9.8,97830.76,97403.73,86933.95
2018-07-06,100460.77,100460.77,92906.4,92906.4,10.16,99755.93,98571.26,86933.95
2018-07-09,103536.82,103536.82,95751.14,95751.14,10.36,102810.4,100409.17,86933.95
2018-07-10,104566.07,104566.07,96703.0,96703.0,10.67,103832.43,101118.54,88077.67
2018-07-11,94845.59,94845.59,87713.46,87713.46,9.84,94180.15,94488.44,80316.78
2018-07-12,95370.86,95370.86,88199.23,88199.23,10.06,94701.73,94940.4,80003.87
2018-07-13,95479.25,95479.25,88299.48,88299.48,9.94,94809.36,95026.16,80003.87
2018-07-16,93421.56,93421.56,86396.52,86396.52,9.89,92766.11,93590.98,78977.64
2018-07-17,95972.5,95972.5,88755.63,88755.63,10.33,95299.15,95781.56,81865.4
2018-07-18,96495.27,96495.27,89239.1,89239.1,10.56,95818.26,96166.83,82228.0
2018-07-19,94188.76,94188.76,87106.02,87106.02,10.48,93527.92,94781.17,80942.61
2018-07-20,93300.53,93300.53,86284.59,86284.59,10.33,92645.93,94320.76,78983.4
2018-07-23,93284.3,93284.3,86269.58,86269.58,10.36,92629.81,94319.18,78424.69
2018-07-24,88827.08,88827.08,82147.53,82147.53,10.03,88203.87,91193.25,74646.78
2018-07-25,88672.29,88672.29,82004.38,82004.38,10.18,88050.16,91180.78,74277.52
2018-07-26,91925.39,91925.39,85012.86,85012.86,10.73,91280.44,93536.93,77134.81
2018-07-27,89233.39,89233.39,82523.29,82523.29,10.59,88607.33,91630.42,77356.56
2018-07-30,88989.18,88989.18,82297.44,82297.44,10.29,88364.83,91507.16,77356.56
2018-07-31,87683.26,87683.26,81089.72,81089.72,10.48,87068.07,90565.58,76361.83
2018-08-01,85829.26,85829.26,79375.14,79375.14,10.43,85227.08,89141.81,74997.6
2018-08-02,86926.26,86926.26,80389.65,80389.65,10.74,86316.38,90432.45,76250.36
2018-08-03,86933.26,86933.26,80396.12,80396.12,10.8,86323.33,90447.21,76256.5
2018-08-06,87484.53,87484.53,80905.93,80905.93,11.0,86870.73,90858.26,77459.23
2018-08-07,88363.75,88363.75,81719.04,81719.04,11.26,87743.78,91508.34,78397.52
2018-08-08,88055.94,88055.94,81434.38,81434.38,11.35,87438.13,91283.62,78435.12
2018-08-09,86973.39,86973.39,80433.24,80433.24,10.99,86363.18,90702.06,77470.85
2018-08-10,86973.39,86973.39,80433.24,80433.24,10.17,86363.18,90702.06,75421.25
2018-08-13,85531.51,85531.51,79099.78,79099.78,10.21,84931.42,89647.91,75727.64
2018-08-14,86965.45,86965.45,80425.89,80425.89,10.17,86355.29,90440.26,75727.64
2018-08-15,86965.45,86965.45,80425.89,80425.89,9.74,86355.29,90440.26,75727.64
2018-08-16,86965.45,86965.45,80425.89,80425.89,9.7,86355.29,90440.26,75727.64
2018-08-17,86965.45,86965.45,80425.89,80425.89,9.48,86355.29,90440.26,75484.16
2018-08-20,86965.45,86965.45,80425.89,80425.89,9.44,86355.29,90440.26,75817.8
2018-08-21,89547.55,89547.55,82813.83,82813.83,10.0,88919.28,92329.74,78176.88
2018-08-22,89307.38,89307.38,82591.71,82591.71,10.14,88680.79,92171.85,77485.55
2018-08-23,88097.99,88097.99,81473.26,81473.26,10.17,87479.89,91305.83,76815.48
2018-08-24,90397.43,90397.43,83599.79,83599.79,10.61,89763.2,92793.46,79405.28
2018-08-27,93034.93,93034.93,86038.96,86038.96,11.11,92382.19,94710.16,82377.94
2018-08-28,94210.89,94210.89,87126.5,87126.5,11.24,93549.9,95560.8,83419.2
2018-08-29,93482.35,93482.35,86452.73,86452.73,11.33,92826.47,95041.86,83164.83
2018-08-30,92496.08,92496.08,85540.63,85540.63,11.02,91847.12,94523.95,80215.76
2018-08-31,93217.65,93217.65,86207.94,86207.94,11.19,92563.63,95050.13,80559.39
2018-09-04,93896.27,93896.27,86835.53,86835.53,11.46,93237.49,95558.05,81789.4
2018-09-05,93325.29,93325.29,86307.48,86307.48,11.28,92670.51,95158.79,79513.59
2018-09-06,93325.29,93325.29,86307.48,86307.48,10.41,92670.51,95392.14,78812.14
2018-09-07,91867.99,91867.99,84959.77,84959.77,10.27,91223.44,94782.89,78812.14
2018-09-10,93934.96,93934.96,86871.31,86871.31,10.6,93275.91,95904.96,78812.14
2018-09-11,93934.96,93934.96,86871.31,86871.31,10.27,93275.91,95904.96,78812.14
2018-09-12,91846.24,91846.24,86871.31,86871.31,9.93,93275.91,93772.44,78812.14
2018-09-13,90199.51,90199.51,85765.33,85765.33,10.27,92088.39,92091.17,78010.91
2018-09-14,91566.22,91566.22,87064.85,87064.85,10.6,93483.71,92700.45,79013.42
2018-09-17,89934.83,89934.83,85513.65,85513.65,10.14,91818.15,91963.69,75198.73
2018-09-18,89823.52,89823.52,85407.82,85407.82,10.42,91704.52,91882.41,76289.7
2018-09-19,88769.68,88769.68,84405.79,84405.79,10.47,90628.62,91161.95,75923.86
2018-09-20,90394.69,90394.69,85950.91,85950.91,10.84,92287.65,92098.38,77960.53
2018-09-21,90317.87,90317.87,85877.87,85877.87,10.74,92209.22,92053.21,76527.71
2018-09-24,92046.45,92046.45,87521.47,87521.47,10.85,93974.0,93296.32,76577.36
2018-09-25,90866.3,90866.3,86399.34,86399.34,10.28,92769.14,92463.94,75595.55
2018-09-26,87777.96,87777.96,83462.81,83462.81,9.99,89616.12,90262.53,75595.55
2018-09-27,88405.69,88405.69,84059.69,84059.69,10.12,90257.0,90605.02,75178.47
2018-09-28,89276.61,89276.61,84887.8,84887.8,10.31,91146.16,91239.44,76024.86
2018-10-01,88489.2,88489.2,84139.09,84139.09,10.39,90342.25,90687.48,75737.47
2018-10-02,87117.16,87117.16,82834.5,82834.5,10.4,88941.48,89828.78,75063.34
2018-10-03,88214.86,88214.86,83878.24,83878.24,10.43,90062.17,90428.82,76009.16
2018-10-04,88214.86,88214.86,83878.24,83878.24,9.86,90062.17,89711.13,76009.16
2018-10-05,88470.86,88470.86,83878.24,83878.24,9.16,90062.17,89971.47,76009.16
