date,strategy,leg,ticker,action,qty,price,pnl,side,regime_today,active_today,bear_streak,equity_eod,cash_eod,reason_short,reason_detail
2010-05-25,yangbyungi,SHORT,SOXS,STOP_BUY,9.64271683273525e-06,4146757142.4,0.0,,BEAR,yangbyungi,1,95400.5335469617,68844.49138960883,양변기 v5 SOXS SHORT(롱) 진입,"BEAR regime — SOXS intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2010-05-25,yangbyungi,SHORT,SOXS,LOC_SELL,2.4106792081838125e-06,3670164000.0,-1155.5086103911651,loser,BEAR,yangbyungi,1,95400.5335469617,68844.49138960883,양변기 v5 loser LOC 전량청산,"종가 > entry → loc_on_loss 100% 적용. SOXS 종가 @ 3670164000.0000, pnl $-1,156. F1_A6 asymmetric LOC"
2010-05-26,yangbyungi,SHORT,SOXS,MOO_SELL,7.232037624551437e-06,3487855200.0,-4784.528469625009,,BEAR,yangbyungi,2,93921.49869651155,65801.3836939376,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXS 시가 @ 3487855200.0000
2010-05-26,yangbyungi,SHORT,SOXS,STOP_BUY,1.0162819485129515e-05,3700825488.0,0.0,,BEAR,yangbyungi,2,93921.49869651155,65801.3836939376,양변기 v5 SOXS SHORT(롱) 진입,"BEAR regime — SOXS intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2010-05-26,yangbyungi,SHORT,SOXS,LOC_SELL,2.540704871282379e-06,3687435360.0,-40.59035005107944,loser,BEAR,yangbyungi,2,93921.49869651155,65801.3836939376,양변기 v5 loser LOC 전량청산,"종가 > entry → loc_on_loss 100% 적용. SOXS 종가 @ 3687435360.0000, pnl $-41. F1_A6 asymmetric LOC"
2010-05-27,yangbyungi,SHORT,SOXS,MOO_SELL,7.622114613847136e-06,3429324480.0,-2088.4331878455305,,BEAR,yangbyungi,3,91930.93938208722,91930.93938208722,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXS 시가 @ 3429324480.0000
2010-06-01,yangbyungi,LONG,SOXL,STOP_BUY,75538.7484037171,0.6082889692568778,0.0,,BEAR,yangbyungi,1,88396.6164597896,56566.49387474865,양변기 v5 SOXL LONG 진입,"BEAR regime — SOXL intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2010-06-01,yangbyungi,LONG,SOXL,LOC_SELL,18884.687100929277,0.5615521075129509,-890.3432390558646,loser,BEAR,yangbyungi,1,88396.6164597896,56566.49387474865,양변기 v5 loser LOC 전량청산,"종가 > entry → loc_on_loss 100% 적용. SOXL 종가 @ 0.5616, pnl $-890. F1_A6 asymmetric LOC"
2010-06-02,yangbyungi,LONG,SOXL,MOO_SELL,56654.06130278782,0.5815420884490013,-1538.912491536932,,BEAR,yangbyungi,2,91831.39193658553,44750.841825747215,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXL 시가 @ 0.5815
2010-06-02,yangbyungi,LONG,SOXL,STOP_BUY,75712.52749747099,0.5908557802757619,0.0,,BEAR,yangbyungi,2,91831.39193658553,44750.841825747215,양변기 v5 SOXL LONG 진입,"BEAR regime — SOXL intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2010-06-03,yangbyungi,LONG,SOXL,MOO_SELL,75712.52749747099,0.6326835162043571,3134.46056823057,,BEAR,yangbyungi,3,92825.27743375092,46318.07210986249,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXL 시가 @ 0.6327
2010-06-03,yangbyungi,LONG,SOXL,STOP_BUY,72029.70592418699,0.642816263963878,0.0,,BEAR,yangbyungi,3,92825.27743375092,46318.07210986249,양변기 v5 SOXL LONG 진입,"BEAR regime — SOXL intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2010-06-04,yangbyungi,LONG,SOXL,MOO_SELL,72029.70592418699,0.6286855081021786,-1049.8892537580978,,NEUTRAL,longbyungi,0,91586.2549659669,91586.2549659669,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXL 시가 @ 0.6287
2010-06-07,yangbyungi,SHORT,SOXS,STOP_BUY,1.0408074459391765e-05,3518584012.8,0.0,,BEAR,yangbyungi,1,94159.38579108728,54951.75297958014,양변기 v5 SOXS SHORT(롱) 진입,"BEAR regime — SOXS intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
