date,BASE,CHAMP_NOMARGIN
2010-05-25,97240.32012817703,97240.32012817703
2010-05-26,94388.41806463694,95252.75923061243
2010-05-27,96208.10810151053,96300.73714549029
2010-05-28,96528.72214728183,96485.24437730119
2010-06-01,94302.07019981976,95097.2499550062
2010-06-02,96481.94136593955,96370.84412866004
2010-06-03,97113.26507872694,96739.36766577877
2010-06-04,96334.87582837124,96225.14009695181
2010-06-07,97958.8022917051,97139.50123464051
2010-06-08,96318.53850510519,96215.94127309765
2010-06-09,94632.74703785911,95216.53726931728
2010-06-10,95474.71023167024,95720.29621636296
2010-06-11,96229.20947816026,96282.52492915108
2010-06-14,95135.47433982334,95479.41658232166
2010-06-15,103461.05011469877,101294.09353396765
2010-06-16,103227.91066479712,101203.61855118483
2010-06-17,104407.3441817889,102099.92340826817
2010-06-18,104407.3441817889,102099.92340826817
2010-06-21,98338.07185127107,97143.64770936147
2010-06-22,94087.62727022241,93768.39176565036
2010-06-23,94000.85745787743,93732.83069723786
2010-06-24,93598.13012849726,93436.72959383372
2010-06-25,92231.63060545929,92482.73537882259
2010-06-28,92226.29749324467,92484.3061106086
2010-06-29,90791.71942429895,91475.2872714815
2010-06-30,88917.77679006832,90368.89909266897
2010-07-01,87373.53118266673,89460.89895003353
2010-07-02,86586.52867665768,88985.4369256103
2010-07-06,83806.31416555127,87135.09841273421
2010-07-07,87282.13366908327,89573.02005801025
2010-07-08,87934.09945490475,90007.12055231446
2010-07-09,88312.37090621976,90307.94684346656
2010-07-12,88870.63848683053,90762.54037830919
2010-07-13,90418.7881948325,92039.14991210535
2010-07-14,92785.95957397981,94014.16038322524
2010-07-15,92785.95957397981,94014.16038322524
2010-07-16,92785.95957397981,94014.16038322524
2010-07-19,93518.50402878862,94579.67740492774
2010-07-20,91349.35844851867,92905.11862540143
2010-07-21,91349.35844851867,92905.11862540143
2010-07-22,92926.57589326781,94156.350207057
2010-07-23,93302.84645063346,94473.84334981279
2010-07-26,94363.36817025991,95389.61953700916
2010-07-27,95559.95981667662,96422.12998268912
2010-07-28,92422.40795978661,93691.76370152069
2010-07-29,92990.08588453798,94185.76945345785
2010-07-30,92990.08588453798,94185.76945345785
2010-08-02,92538.46516226683,93796.46924554471
2010-08-03,92524.74803914258,93784.64498987861
2010-08-04,93069.78409198544,94272.89753550242
2010-08-05,92706.78425039983,93947.71611715262
2010-08-06,92939.13626762622,94160.80405754803
2010-08-09,92921.31067137676,94138.95013362166
2010-08-10,91183.54335337252,92519.8440758439
2010-08-11,91183.54335337252,92519.8440758439
2010-08-12,91183.54335337252,92519.8440758439
2010-08-13,89532.20347899896,91217.44190188804
2010-08-16,89398.05612705165,91110.39066099902
2010-08-17,89975.08497997171,91557.93402521925
2010-08-18,90361.52564639175,91871.68390022966
2010-08-19,87101.73012756139,89171.30048192533
2010-08-20,87171.28244717,89248.04358607443
2010-08-23,87706.51207015495,89662.13992744805
2010-08-24,87004.06319848969,89102.42701644791
2010-08-25,87461.37850910962,89429.36967438362
