year,V1_ret,V1_mdd,V2_FINAL_ret,V2_FINAL_mdd,SOXL_ret,SOXL_mdd
2010,34.21,-11.15,33.43,-10.14,50.8,-46.62
2011,39.71,-22.65,40.73,-20.08,-49.21,-72.61
2012,73.38,-16.04,66.09,-13.38,-0.07,-52.34
2013,71.2,-15.74,66.03,-14.38,127.71,-22.61
2014,112.15,-9.73,109.39,-6.74,104.52,-43.29
2015,11.82,-16.54,20.04,-13.01,-20.58,-58.87
2016,111.91,-15.7,110.72,-12.27,120.8,-40.37
2017,127.13,-10.03,119.45,-9.8,141.13,-28.9
2018,0.28,-22.61,10.78,-17.37,-44.18,-66.67
2019,134.55,-28.13,130.66,-22.7,221.31,-47.16
2020,73.13,-11.08,70.18,-10.88,59.78,-80.38
2021,172.63,-17.48,146.48,-14.62,121.75,-40.92
2022,-16.71,-30.9,-4.88,-19.94,-86.59,-90.39
2023,119.85,-23.58,107.26,-20.89,235.47,-49.07
2024,88.77,-21.32,89.76,-20.6,-2.6,-62.15
2025,128.99,-12.8,122.76,-11.13,51.9,-76.53
2026,121.26,-22.4,122.57,-20.4,374.89,-43.47
