date,walk_forward,YB_RSI_70_60_50,YB_Consensus_80_60_40,YB_HybridAND_80_60_40,YB_MDD_AND_60_40_20,GB_intraday_opt,bench
2020-06-04,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-06-05,98640.19113691703,102515.54298165717,102869.56636617497,102869.56636617494,102160.19955559359,98640.19113691703,107551.86721991701
2020-06-08,100837.7615567731,102515.54298165717,102869.56636617497,102869.56636617494,102160.19955559359,100837.76155677311,106721.99170124481
2020-06-09,102829.46761840399,103998.74655595784,104570.50992579413,104570.50992579413,103427.1102145606,102829.46761840399,106804.97925311203
2020-06-10,102036.3409515352,102646.85861344372,103012.6778177539,103012.67781775385,102277.93833442625,102036.3409515352,107634.85477178423
2020-06-11,81658.19215401137,97274.63645752061,96832.85761402137,96832.85761402134,97703.2411547891,81658.19215401137,87219.91701244812
2020-06-12,89196.50592865163,97274.63645752061,96832.85761402137,96832.85761402134,97703.2411547891,89196.50592865162,90954.35684647303
2020-06-15,96144.41075729637,97274.63645752061,96832.85761402137,96832.85761402134,97703.2411547891,96144.41075729635,94854.77178423236
2020-06-16,104299.05222946622,97274.63645752061,96832.85761402137,96832.85761402134,97703.2411547891,104299.05222946621,100082.98755186722
2020-06-17,104299.05222946622,96493.93617212556,95944.6808297514,95944.68082975138,97031.12102418597,104299.05222946621,102489.62655601659
2020-06-18,103999.41732712957,95242.38983336586,94522.03185319407,94522.03185319403,95952.73698569497,103999.41732712956,102240.66390041493
2020-06-19,101130.40662615892,97229.78291343935,96810.07291557222,96810.07291557215,97634.91954664554,101130.4066261589,100331.95020746888
2020-06-22,101600.41025256319,97576.06670679864,97198.17480764602,97198.17480764595,97938.96430129395,101600.41025256316,102738.58921161825
2020-06-23,100769.91069739756,96400.55829485248,95857.7032327835,95857.70323278342,96929.32982731718,100769.91069739756,103568.46473029045
2020-06-24,92955.74385778372,90699.68928019963,89445.1108324335,89445.11083243343,91950.5947128504,92955.74385778372,96597.51037344399
2020-06-25,92876.74774275978,91313.2678971881,90112.61965647391,90112.61965647382,92508.12522632012,92876.74774275978,99087.13692946057
2020-06-26,92876.74774275978,86957.27537110513,85202.99716252032,85202.99716252023,88723.09470665609,92876.74774275978,93278.00829875519
2020-06-29,92876.74774275978,87923.24314362949,86284.7924968626,86284.7924968625,89567.80068519153,92876.74774275978,96348.54771784232
2020-06-30,97322.20985121737,91334.2864387271,90111.7979109059,90111.79791090578,92545.21176228806,97322.20985121737,103983.40248962655
2020-07-01,97472.31905292388,91389.1891873548,90173.40918396637,90173.40918396629,92593.12450433952,97472.31905292388,99751.03734439833
2020-07-02,95833.28671017711,90098.10144391558,88717.50977283363,88717.50977283354,91471.89921746653,95833.2867101771,103485.47717842324
2020-07-06,102424.56922507878,93268.9782602696,92293.15961782934,92293.15961782925,94225.5984033831,102424.56922507877,111784.23236514523
2020-07-07,101045.96134607597,90422.605043417,89074.1958663839,89074.19586638379,91760.8264719526,101045.96134607596,107219.91701244813
2020-07-08,101353.40575158235,92292.09429378458,91188.25737408666,91188.25737408656,93379.79147627529,101353.40575158234,112282.15767634852
2020-07-09,104115.1603298919,93445.52558358302,92491.11253424239,92491.11253424227,94379.78045567533,104115.16032989188,116763.4854771784
2020-07-10,104026.68066376458,93422.53499288279,92465.13936069445,92465.13936069433,94359.85156783862,104026.68066376455,115435.6846473029
2020-07-13,93523.22813707769,87087.59011230127,85106.86859176973,85106.86859176963,89071.89349395424,93523.22813707765,109543.56846473028
2020-07-14,91957.14464991228,89364.21359198011,87587.22479272989,87587.22479272977,91126.22141928275,91957.14464991225,115269.70954356846
2020-07-15,91957.14464991228,89023.46279507813,87344.40767872527,87344.40767872515,90682.94757149443,91957.14464991225,114273.85892116182
2020-07-16,91946.58950571595,90414.52682698982,88752.21070208402,88752.21070208392,92055.3241658583,91946.58950571592,112946.05809128631
2020-07-17,93488.46776522823,90950.98301469452,89353.74005804733,89353.74005804723,92523.71524405571,93488.46776522821,115020.7468879668
2020-07-20,97939.5927052636,93455.36049525651,92165.62194981577,92165.62194981567,94707.44386541688,97939.59270526357,121991.70124481327
2020-07-21,99587.15397386103,94017.16543061493,92796.40909620315,92796.40909620305,95197.31790656535,99587.153973861,119502.07468879668
2020-07-22,98438.45121343035,93177.59142623028,91849.35464933756,91849.35464933746,94468.6498137115,98438.45121343034,120912.86307053942
