date,equity,cash,regime,active
2010-05-25,95400.5335469617,68844.49138960883,BEAR,yangbyungi
2010-05-26,93921.49869651157,65801.3836939376,BEAR,yangbyungi
2010-05-27,91930.93938208722,91930.93938208722,BEAR,yangbyungi
2010-05-28,91175.15634220984,64156.97162528495,BEAR,yangbyungi
2010-06-01,88546.04378507366,56662.1149541397,BEAR,yangbyungi
2010-06-02,91986.62547180164,44826.48950171085,BEAR,yangbyungi
2010-06-03,92982.1910519547,46396.36906176948,BEAR,yangbyungi
2010-06-04,91741.07411697565,91741.07411697565,BEAR,yangbyungi
2010-06-07,94318.55461148615,55044.64447018539,BEAR,yangbyungi
2010-06-08,91715.14367430999,91715.14367430999,BEAR,yangbyungi
2010-06-09,89039.7742002185,19928.366067258867,BEAR,yangbyungi
2010-06-10,88688.8463523763,88688.8463523763,BEAR,yangbyungi
2010-06-11,91521.67299668156,44344.42317618815,BEAR,yangbyungi
2010-06-14,91729.07031947435,58083.22323356217,BEAR,yangbyungi
2010-06-15,98144.7466561198,46228.33693816586,BEAR,yangbyungi
2010-06-16,97949.38996902885,48498.19070232701,BEAR,yangbyungi
2010-06-17,97270.69405424633,68809.34021322524,BEAR,yangbyungi
2010-06-18,97429.70981910668,97429.70981910668,BEAR,yangbyungi
2010-06-21,92576.32533652653,52364.451015839986,BEAR,yangbyungi
2010-06-22,88539.11849550263,22120.66860908198,BEAR,yangbyungi
2010-06-23,87626.9555895197,48455.52324969783,BEAR,yangbyungi
2010-06-24,86998.03390838951,52145.450601395256,BEAR,yangbyungi
2010-06-25,84886.28088835414,60012.556598134994,BEAR,yangbyungi
2010-06-28,84876.1368101599,42311.00559668886,BEAR,yangbyungi
2010-06-29,82678.36129248168,82678.36129248168,BEAR,yangbyungi
2010-06-30,79834.22331865308,50956.80612657759,BEAR,yangbyungi
2010-07-01,77523.64624977969,25370.849082193054,BEAR,yangbyungi
2010-07-02,76353.24862307735,53671.794005071875,BEAR,yangbyungi
2010-07-06,75024.39419155414,75024.39419155414,BEAR,yangbyungi
2010-07-07,80224.0615910981,37512.19709577707,BEAR,yangbyungi
2010-07-08,81177.4323766206,57084.774277364624,BEAR,yangbyungi
2010-07-09,81759.53484818948,40596.84341440353,BEAR,yangbyungi
2010-07-12,82621.0422808353,40961.116667602444,BEAR,yangbyungi
2010-07-13,84556.47909130016,42045.818859772415,BEAR,yangbyungi
2010-07-14,85848.9183390578,60338.273864021525,BEAR,yangbyungi
2010-07-15,84050.15571652407,59665.36023336975,BEAR,yangbyungi
2010-07-16,84892.36709198938,50819.817753001196,BEAR,yangbyungi
2010-07-19,85482.38903923263,42186.09632950758,BEAR,yangbyungi
2010-07-20,82194.97411776012,82194.97411776012,BEAR,yangbyungi
2010-07-21,82832.84992835202,49316.984470656076,BEAR,yangbyungi
2010-07-22,83850.66008884183,40752.62076151038,BEAR,yangbyungi
2010-07-23,83943.11386551228,41733.53963398338,BEAR,yangbyungi
2010-07-26,84899.82703439536,33572.11286671285,BEAR,yangbyungi
2010-07-27,85976.41454691696,85976.41454691696,BEAR,yangbyungi
2010-07-28,82874.09963085881,20705.316761239155,BEAR,yangbyungi
2010-07-29,83134.94366697651,58230.36789440618,BEAR,yangbyungi
2010-07-30,83966.17530487991,83966.17530487991,BEAR,yangbyungi
2010-08-02,83966.17530487991,83966.17530487991,BEAR,yangbyungi
2010-08-03,83966.17530487991,83966.17530487991,BEAR,yangbyungi
2010-08-04,84460.79532525674,33586.47012195197,BEAR,yangbyungi
2010-08-05,84131.3731006069,84131.3731006069,BEAR,yangbyungi
2010-08-06,84342.23247201118,33652.549240242755,BEAR,yangbyungi
2010-08-09,84315.3354266361,46471.109001552744,BEAR,yangbyungi
2010-08-10,83132.56801828087,83132.56801828087,BEAR,yangbyungi
2010-08-11,83132.56801828087,83132.56801828087,BEAR,yangbyungi
2010-08-12,83132.56801828087,83132.56801828087,BEAR,yangbyungi
2010-08-13,80623.34103537301,45088.055970920046,BEAR,yangbyungi
2010-08-16,80417.20477422362,40128.43291733772,BEAR,yangbyungi
2010-08-17,81276.1658151706,51039.99873892352,BEAR,yangbyungi
2010-08-18,81859.1776821492,40761.62585318159,BEAR,yangbyungi
2010-08-19,79139.4464387238,50283.458267021924,BEAR,yangbyungi
2010-08-20,78841.08529892034,49471.58528602196,BEAR,yangbyungi
2010-08-23,79650.09584827552,79650.09584827552,BEAR,yangbyungi
2010-08-24,78586.88859345777,49509.330382491105,BEAR,yangbyungi
2010-08-25,79270.51287698414,39076.768556739094,BEAR,yangbyungi
2010-08-26,80406.98212317599,47967.58278616346,BEAR,yangbyungi
2010-08-27,77123.82095720498,15160.330519512561,BEAR,yangbyungi
2010-08-30,77018.90203408134,45902.214674575414,BEAR,yangbyungi
2010-08-31,74892.03048922772,47839.464979738084,BEAR,yangbyungi
2010-09-01,77255.3423131686,37984.842090678845,BEAR,yangbyungi
2010-09-02,79145.54839798155,38943.18633215281,BEAR,yangbyungi
2010-09-03,80203.31020897473,50303.242745451,BEAR,yangbyungi
2010-09-07,79916.46330269471,79916.46330269471,BEAR,yangbyungi
2010-09-08,79916.46330269471,79916.46330269471,BEAR,yangbyungi
2010-09-09,79916.46330269471,79916.46330269471,BEAR,yangbyungi
2010-09-10,79266.67414021557,55774.08587406069,BEAR,yangbyungi
2010-09-13,80895.4823754633,31408.104410243926,BEAR,yangbyungi
2010-09-14,82433.46180062403,32165.908582530938,BEAR,yangbyungi
2010-09-15,81215.4301517093,44703.12236277617,BEAR,yangbyungi
2010-09-16,81694.89427590297,32181.801748486985,BEAR,yangbyungi
2010-09-17,82370.86378141504,82370.86378141504,BEAR,yangbyungi
2010-09-20,82153.00527912495,45241.668409992046,BEAR,yangbyungi
