date,strategy,leg,ticker,action,qty,price,pnl,side
2010-05-25,yangbyungi,SHORT,SOXS,STOP_BUY,9.64271683273525e-06,4146757142.3999996,0.0,
2010-05-25,yangbyungi,SHORT,SOXS,LOC_SELL,2.4106792081838125e-06,3670164000.0,-1155.5086103911653,loser
2010-05-26,yangbyungi,SHORT,SOXS,MOO_SELL,7.2320376245514376e-06,3487855200.0,-4784.528469625009,
2010-05-26,yangbyungi,SHORT,SOXS,STOP_BUY,1.0162819485129515e-05,3700825488.0,0.0,
2010-05-26,yangbyungi,SHORT,SOXS,LOC_SELL,2.540704871282379e-06,3687435360.0,-40.59035005107944,loser
2010-05-27,yangbyungi,SHORT,SOXS,MOO_SELL,7.622114613847136e-06,3429324480.0,-2088.4331878455305,
2010-05-28,yangbyungi,SHORT,SOXS,STOP_BUY,1.1004474061960282e-05,3340414972.7999997,0.0,
2010-05-28,yangbyungi,SHORT,SOXS,LOC_SELL,2.7511185154900705e-06,3271963200.0,-194.6859421761128,loser
2010-06-01,yangbyungi,SHORT,SOXS,MOO_SELL,8.253355546470212e-06,3385186560.0,350.08775429147136,
2010-06-01,yangbyungi,LONG,SOXL,STOP_BUY,75666.440543771,0.6082889692568778,0.0,
2010-06-01,yangbyungi,LONG,SOXL,LOC_SELL,18916.61013594275,0.5615521075129509,-891.8482922369167,loser
2010-06-02,yangbyungi,LONG,SOXL,MOO_SELL,56749.830407828245,0.5815420884490013,-1541.5138985439626,
2010-06-02,yangbyungi,LONG,SOXL,STOP_BUY,75840.51339701716,0.5908557802757619,0.0,
2010-06-03,yangbyungi,LONG,SOXL,MOO_SELL,75840.51339701716,0.6326835162043571,3139.7591201172545,
2010-06-03,yangbyungi,LONG,SOXL,STOP_BUY,72151.4663119519,0.642816263963878,0.0,
2010-06-04,yangbyungi,LONG,SOXL,MOO_SELL,72151.4663119519,0.6286855081021786,-1051.6640065633037,
2010-06-07,yangbyungi,SHORT,SOXS,STOP_BUY,1.0425668466833576e-05,3518584012.7999997,0.0,
