date,close
2018-06-04,12.04
2018-06-05,12.2
2018-06-06,12.44
2018-06-07,12.1
2018-06-08,11.78
2018-06-11,11.69
2018-06-12,11.88
2018-06-13,11.83
2018-06-14,12.04
2018-06-15,12.0
2018-06-18,11.65
2018-06-19,11.25
2018-06-20,11.41
2018-06-21,10.98
2018-06-22,10.73
2018-06-25,9.78
2018-06-26,9.88
2018-06-27,9.16
2018-06-28,9.38
2018-06-29,9.43
2018-07-02,9.6
2018-07-03,9.07
2018-07-05,9.8
2018-07-06,10.16
2018-07-09,10.36
2018-07-10,10.67
2018-07-11,9.84
2018-07-12,10.06
2018-07-13,9.94
2018-07-16,9.89
2018-07-17,10.33
2018-07-18,10.56
2018-07-19,10.48
2018-07-20,10.33
2018-07-23,10.36
2018-07-24,10.03
2018-07-25,10.18
2018-07-26,10.73
2018-07-27,10.59
2018-07-30,10.29
2018-07-31,10.48
2018-08-01,10.43
2018-08-02,10.74
2018-08-03,10.8
2018-08-06,11.0
2018-08-07,11.26
2018-08-08,11.35
2018-08-09,10.99
2018-08-10,10.17
2018-08-13,10.21
2018-08-14,10.17
2018-08-15,9.74
2018-08-16,9.7
2018-08-17,9.48
2018-08-20,9.44
2018-08-21,10.0
2018-08-22,10.14
2018-08-23,10.17
2018-08-24,10.61
2018-08-27,11.11
2018-08-28,11.24
2018-08-29,11.33
2018-08-30,11.02
2018-08-31,11.19
2018-09-04,11.46
2018-09-05,11.28
2018-09-06,10.41
2018-09-07,10.27
2018-09-10,10.6
2018-09-11,10.27
2018-09-12,9.93
2018-09-13,10.27
2018-09-14,10.6
2018-09-17,10.14
2018-09-18,10.42
2018-09-19,10.47
2018-09-20,10.84
2018-09-21,10.74
2018-09-24,10.85
2018-09-25,10.28
2018-09-26,9.99
2018-09-27,10.12
2018-09-28,10.31
2018-10-01,10.39
2018-10-02,10.4
2018-10-03,10.43
2018-10-04,9.86
2018-10-05,9.16
2018-10-08,8.85
2018-10-09,8.84
2018-10-10,7.67
2018-10-11,7.42
2018-10-12,7.83
2018-10-15,7.63
2018-10-16,8.39
2018-10-17,8.27
2018-10-18,7.63
2018-10-19,7.28
2018-10-22,7.43
2018-10-23,7.31
2018-10-24,5.83
2018-10-25,6.26
2018-10-26,5.93
2018-10-29,5.75
2018-10-30,6.46
2018-10-31,6.7
2018-11-01,7.63
2018-11-02,7.28
2018-11-05,7.09
2018-11-06,7.35
2018-11-07,7.62
2018-11-08,7.51
2018-11-09,7.1
2018-11-12,6.14
2018-11-13,6.4
2018-11-14,6.47
2018-11-15,7.12
2018-11-16,6.87
2018-11-19,6.07
2018-11-20,6.1
2018-11-21,6.18
2018-11-23,6.17
2018-11-26,6.52
2018-11-27,6.56
2018-11-28,7.01
2018-11-29,6.84
2018-11-30,7.13
2018-12-03,7.71
2018-12-04,6.57
2018-12-06,6.47
2018-12-07,5.75
2018-12-10,5.99
2018-12-11,6.09
2018-12-12,6.37
2018-12-13,6.3
2018-12-14,6.02
2018-12-17,5.79
2018-12-18,6.03
2018-12-19,5.26
2018-12-20,5.13
2018-12-21,4.89
2018-12-24,4.48
2018-12-26,5.24
2018-12-27,5.34
2018-12-28,5.45
2018-12-31,5.55
2019-01-02,5.7
2019-01-03,4.69
2019-01-04,5.29
2019-01-07,5.61
2019-01-08,5.52
2019-01-09,5.94
2019-01-10,6.12
2019-01-11,6.28
2019-01-14,5.98
2019-01-15,6.03
2019-01-16,5.88
2019-01-17,6.08
2019-01-18,6.49
2019-01-22,5.94
2019-01-23,5.83
2019-01-24,6.82
2019-01-25,7.27
2019-01-28,6.82
2019-01-29,6.52
2019-01-30,7.09
2019-01-31,7.09
2019-02-01,7.35
2019-02-04,7.46
2019-02-05,7.55
2019-02-06,8.17
2019-02-07,7.62
2019-02-08,7.59
2019-02-11,7.69
2019-02-12,8.18
2019-02-13,8.25
2019-02-14,8.32
2019-02-15,8.45
2019-02-19,8.4
2019-02-20,8.63
2019-02-21,8.44
2019-02-22,8.71
2019-02-25,8.92
2019-02-26,8.73
2019-02-27,8.43
2019-02-28,8.44
2019-03-01,8.67
2019-03-04,8.67
2019-03-05,8.54
2019-03-06,8.13
2019-03-07,7.86
2019-03-08,7.84
2019-03-11,8.4
2019-03-12,8.5
2019-03-13,8.6
2019-03-14,8.45
2019-03-15,9.2
2019-03-18,9.13
2019-03-19,9.48
2019-03-20,9.2
2019-03-21,10.16
2019-03-22,9.3
2019-03-25,8.95
2019-03-26,9.21
2019-03-27,8.81
2019-03-28,8.75
2019-03-29,9.16
2019-04-01,9.84
2019-04-02,9.88
2019-04-03,10.54
2019-04-04,10.59
2019-04-05,10.83
2019-04-08,10.91
2019-04-09,10.54
2019-04-10,10.81
2019-04-11,10.79
2019-04-12,11.23
2019-04-15,10.99
2019-04-16,12.04
2019-04-17,12.6
2019-04-18,12.61
2019-04-22,12.61
2019-04-23,12.99
2019-04-24,13.35
2019-04-25,12.65
2019-04-26,12.32
2019-04-29,12.27
2019-04-30,12.54
2019-05-01,12.22
2019-05-02,12.62
2019-05-03,12.88
2019-05-06,12.26
2019-05-07,11.36
2019-05-08,11.08
2019-05-09,10.69
2019-05-10,10.72
2019-05-13,9.21
2019-05-14,9.87
2019-05-15,10.11
2019-05-16,9.6
2019-05-17,9.03
2019-05-20,7.95
2019-05-21,8.46
2019-05-22,7.92
2019-05-23,7.52
2019-05-24,7.33
2019-05-28,7.13
2019-05-29,7.23
2019-05-30,7.4
2019-05-31,7.07
2019-06-03,7.14
2019-06-04,8.04
2019-06-05,7.88
2019-06-06,8.2
2019-06-07,8.46
2019-06-10,9.12
2019-06-11,9.2
2019-06-12,8.54
2019-06-13,8.7
2019-06-14,8.02
2019-06-17,7.86
2019-06-18,8.88
2019-06-19,8.89
2019-06-20,9.15
2019-06-21,8.96
2019-06-24,9.02
2019-06-25,8.61
2019-06-26,9.43
2019-06-27,9.86
2019-06-28,9.88
2019-07-01,10.68
2019-07-02,10.24
2019-07-03,10.1
2019-07-05,9.92
2019-07-08,9.68
2019-07-09,9.9
2019-07-10,10.11
2019-07-11,10.19
2019-07-12,10.77
2019-07-15,11.01
2019-07-16,10.66
2019-07-17,10.75
2019-07-18,11.23
2019-07-19,11.17
2019-07-22,11.82
2019-07-23,12.27
2019-07-24,13.39
2019-07-25,12.71
2019-07-26,12.7
2019-07-29,12.8
2019-07-30,12.71
2019-07-31,11.48
2019-08-01,10.8
2019-08-02,10.29
2019-08-05,8.95
2019-08-06,9.3
2019-08-07,9.49
2019-08-08,10.27
2019-08-09,9.7
2019-08-12,9.36
2019-08-13,10.18
2019-08-14,9.23
2019-08-15,9.15
2019-08-16,9.9
2019-08-19,10.47
2019-08-20,10.3
2019-08-21,10.6
2019-08-22,10.58
2019-08-23,9.21
2019-08-26,9.44
2019-08-27,9.33
2019-08-28,9.5
2019-08-29,10.15
2019-08-30,10.32
2019-09-03,9.79
2019-09-04,10.6
2019-09-05,11.58
2019-09-06,11.63
2019-09-09,11.79
2019-09-10,11.94
2019-09-11,12.48
2019-09-12,12.58
2019-09-13,12.47
2019-09-16,12.22
2019-09-17,12.33
2019-09-18,12.36
2019-09-19,12.17
2019-09-20,11.49
2019-09-23,11.85
2019-09-24,11.24
2019-09-25,11.83
2019-09-26,11.84
2019-09-27,11.02
2019-09-30,11.34
2019-10-01,11.03
2019-10-02,10.52
2019-10-03,11.05
2019-10-04,11.64
2019-10-07,11.39
