date,yangbyungi,goldenbyungi,longbyungi,soxl_bnh
2020-07-27,101513.54165795373,100000.0,102182.63711523736,100000.0
2020-07-28,100597.9889287464,100000.0,99552.23657834751,94048.44290657439
2020-07-29,101344.19887654542,100000.0,100627.29289256476,100087.6585928489
2020-07-30,104112.20036555672,100000.0,104966.49104342585,106149.94232987314
2020-07-31,103689.75954163849,100000.0,103746.83034136734,104585.92848904266
2020-08-03,103689.75954163849,100334.03846775036,104093.38466377922,110482.12226066898
2020-08-04,104513.26738239758,102040.49859186096,107086.30408218471,115566.32064590542
2020-08-05,104308.86765975128,100869.03265337716,106474.18378915697,114971.16493656285
2020-08-06,104308.86765975128,99483.96534333653,106474.18378915697,114860.43829296425
2020-08-07,100570.94455139505,94771.0254988867,101476.98252521551,110394.46366782006
2020-08-10,101461.27364128707,95810.40512318927,102589.90820494932,111068.05074971165
2020-08-11,97781.22692591713,90832.36372279639,97259.62273490975,107234.14071510958
2020-08-12,102538.37239469936,97232.54623765474,104112.6794133573,117937.71626297578
2020-08-13,102381.07967187368,96796.47733259245,103645.75446002,114334.48673587081
2020-08-14,102381.07967187368,96796.47733259245,103645.75446002,113923.87543252595
2020-08-17,101401.72399617784,96680.21096449526,102214.05336451289,117923.87543252597
2020-08-18,102659.43122168991,98385.64272103916,104017.10169088579,116078.431372549
2020-08-19,102659.43122168991,98385.64272103916,104017.10169088579,113873.12572087657
2020-08-20,101684.42744266392,97036.20386510555,102590.42280948369,111049.59630911186
2020-08-21,101765.56269122819,97958.95486251893,102711.89061214642,113393.31026528259
2020-08-24,102867.02348518927,99895.08465924143,105868.94056587071,116493.65628604383
2020-08-25,102867.02348518927,102319.76305032303,105868.94056587071,120350.63437139562
2020-08-26,102867.02348518927,102978.29591140374,105868.94056587071,121914.64821222606
2020-08-27,102867.02348518927,100811.55143343667,105868.94056587071,117084.19838523645
2020-08-28,102867.02348518927,103789.83771894647,108996.63783136685,123621.68396770472
2020-08-31,101637.08183463402,103351.38268491124,106666.28571040981,123188.00461361014
2020-09-01,104382.09394668617,103263.59056180535,110786.61508093453,129753.1718569781
2020-09-02,104382.09394668617,109140.985591788,112261.82319658044,141750.86505190312
2020-09-03,104382.09394668617,109140.985591788,106834.54973864695,117476.35524798154
2020-09-04,104382.09394668617,109140.985591788,97810.36631314973,114006.92041522491
2020-09-08,104382.09394668617,101262.85887604278,92427.08384127817,97993.07958477509
2020-09-09,104382.09394668617,108703.13786586179,97157.95176428737,106168.3967704729
2020-09-10,104629.1927846019,108703.13786586179,100104.24449735627,101785.46712802767
2020-09-11,100681.60973406932,108703.13786586179,95121.49688800758,101162.62975778547
2020-09-14,104668.2265945766,108173.24291873696,100081.11542069544,108355.24798154556
2020-09-15,104069.7664666796,111541.9783315506,102339.55460194011,113347.17416378317
2020-09-16,105097.76994334786,111541.9783315506,103771.72232693489,110048.44290657439
2020-09-17,105097.76994334786,117537.89164891692,109349.94732503063,109333.33333333333
2020-09-18,104418.48932200778,118689.29610074738,110421.14244680078,104502.88350634371
2020-09-21,106810.94226877503,120307.01049820069,112571.17231214653,103926.18223760092
2020-09-22,106810.94226877503,122132.2716247109,114997.04299749719,107441.75317185698
2020-09-23,106810.94226877503,122132.2716247109,114997.04299749719,99487.8892733564
2020-09-24,108496.14953563845,122132.2716247109,118044.58867329688,102334.48673587083
2020-09-25,109219.25348154764,123086.54823303009,119379.064455307,106417.53171856978
2020-09-28,112336.59985088158,129016.72243669354,127052.82857829651,115400.23068050749
2020-09-29,111411.67193614,130803.60683639422,126382.004652472,116811.99538638984
2020-09-30,109596.70150046753,130502.55770609067,123402.66108343449,117287.19723183391
2020-10-01,111637.02010361696,134777.2887213988,126652.852818492,122389.85005767012
2020-10-02,107037.504898788,123650.35694860923,113797.24643482076,113238.75432525952
2020-10-05,110139.06005854087,126779.31353957081,121530.98785241057,123612.45674740484
2020-10-06,107010.09383652937,126779.31353957081,117105.21053879325,121803.92156862745
2020-10-07,110357.73882112127,126779.31353957081,122238.58476914592,129430.21914648214
2020-10-08,110279.75459292949,126779.31353957081,124271.72025660583,133813.14878892733
2020-10-09,113594.54606448254,126807.98884145328,129590.1374758836,140502.88350634373
2020-10-12,113140.47006009043,130952.08785943913,128830.7812480252,147386.38985005766
2020-10-13,113166.74003251622,129447.99486477317,128854.2658514061,147123.41407151095
2020-10-14,113166.74003251622,130984.6743768804,128854.2658514061,145116.49365628604
2020-10-15,113166.74003251622,136493.8204055988,134035.68338659464,143303.3448673587
2020-10-16,113166.74003251622,139644.46442945534,137129.58700501942,140968.85813148788
2020-10-19,113166.74003251622,139644.46442945534,137129.58700501942,138657.4394463668
2020-10-20,113166.74003251622,139644.46442945534,137129.58700501942,139395.61707035755
2020-10-21,113166.74003251622,135951.22548929814,137129.58700501942,135460.20761245675
2020-10-22,113166.74003251622,135625.50661011544,137129.58700501942,136281.43021914648
2020-10-23,113166.74003251622,131514.53362329194,137129.58700501942,131404.84429065743
2020-10-26,112516.10970677045,125002.200631356,137129.58700501942,124724.33679354093
2020-10-27,111197.3209542745,128370.17977722788,137129.58700501942,124175.31718569782
2020-10-28,111197.3209542745,128370.17977722788,137129.58700501942,111797.00115340254
2020-10-29,114746.80158642061,128370.17977722788,143411.48545697203,122228.37370242215
2020-10-30,112950.96485676267,128370.17977722788,137064.33082981274,114242.21453287198
2020-11-02,112950.96485676267,128370.17977722788,137064.33082981274,116632.0645905421
2020-11-03,114142.84797621384,130337.15773449665,139502.783281684,124193.77162629757
2020-11-04,115744.90835916615,134587.66450215876,150301.0328333734,136516.72433679353
2020-11-05,115744.90835916615,134587.66450215876,168066.6539983055,155206.45905420993
2020-11-06,117153.02115024732,134587.66450215876,171765.3515245405,162016.1476355248
2020-11-09,119473.95971828098,120785.23802315505,168084.62441694806,158080.73817762398
2020-11-10,120158.26867789606,116142.55374677826,168084.62441694806,141513.26412918107
2020-11-11,118781.3660677238,116142.55374677826,173615.21162203728,157420.9919261822
2020-11-12,118781.3660677238,116142.55374677826,174438.693511188,151381.77623990775
2020-11-13,117733.6503224183,114858.22803540707,172214.78723640818,157319.4925028835
2020-11-16,122342.7222915607,121326.97676905658,181913.8240917201,168991.92618223763
2020-11-17,121816.04983060941,119823.94932407352,179660.23237194843,164253.74855824682
2020-11-18,118467.78787452981,115101.66651375983,172579.79117623693,161591.6955017301
2020-11-19,120129.59475877942,117372.61199413368,175984.77486279965,168456.7474048443
2020-11-20,120972.22569235858,119681.72428539189,179446.98465608864,166652.82583621686
2020-11-23,121343.39409759312,120230.35236587071,180269.58021382662,173158.01614763553
2020-11-24,122175.5694012553,122563.90027422647,183768.42799702214,176622.8373702422
2020-11-25,122175.5694012553,122563.90027422647,183768.42799702214,173522.49134948096
2020-11-27,120985.55518755916,122440.21637810272,181184.17935296663,180392.1568627451
2020-11-30,121377.87542431414,125016.9987495149,181972.78884744577,185688.58131487892
2020-12-01,124872.37853929437,130538.72552260628,189466.6309740608,196848.9042675894
2020-12-02,124599.53357780701,129886.7231403317,188360.1620063694,199972.31833910034
2020-12-03,125612.06523066443,126041.9023311325,190518.72226275833,198689.7347174164
2020-12-04,125612.06523066443,133423.21815456596,198094.07076156657,214745.0980392157
2020-12-07,125612.06523066443,133932.76152391435,198850.59216511156,218915.80161476356
2020-12-08,124789.82532932085,134669.11366409718,196961.53476481352,221081.89158016146
2020-12-09,122767.95140758723,121592.0125935173,176477.0869596124,201845.44405997693
2020-12-10,123668.45597849184,118852.02918054613,178361.98739294359,203012.68742791234
2020-12-11,119901.79275171054,115870.48699736012,167311.8601709327,194117.64705882352
2020-12-14,122301.47218709854,119474.7161537414,172080.3162515242,202989.61937716263
2020-12-15,124854.03785517493,123019.65745406674,177186.1213933259,210168.39677047293
2020-12-16,124854.03785517493,122811.86350157131,177186.1213933259,211185.6978085352
2020-12-17,124854.03785517493,124357.46297304485,177186.1213933259,211141.8685121107
2020-12-18,124854.03785517493,120655.43948904269,177186.1213933259,206634.37139561708
2020-12-21,125105.74065026015,117298.27424394799,177731.95474561435,204895.04036908882
2020-12-22,125162.84700425851,117433.45815434733,177936.78726169607,203640.1384083045
2020-12-23,125162.84700425851,116601.21121828695,177936.78726169607,203432.52595155707
2020-12-24,125162.84700425851,116444.92399734915,177936.78726169607,203866.20530565165
2020-12-28,125162.84700425851,121037.93033732481,177936.78726169607,203543.2525951557
2020-12-29,125162.84700425851,121037.93033732481,177936.78726169607,203580.16147635522
2020-12-30,,122010.81320426372,179367.01373072612,211935.40945790082
2020-12-31,,122275.54427385554,179909.01674781097,214445.21337946944
2021-01-04,125162.84700425851,119753.03137576733,168688.92013522584,212083.04498269898
2021-01-05,126895.24887479535,123048.07726592074,175547.65302422992,224595.15570934254
2021-01-06,125309.26294834641,118862.31180332419,169410.94555175398,223307.95847750866
2021-01-07,129517.11339912948,122078.95287767788,185529.259497082,248710.49596309112
2021-01-08,129517.11339912948,127342.22485277797,193528.10720222656,247737.0242214533
2021-01-11,133643.42834175122,132329.25855768914,202376.65849136753,257047.2895040369
2021-01-12,132220.78870920744,130088.15516462382,198949.24552944492,259976.93194925028
2021-01-13,134800.927158327,133709.70169649334,204487.8278027767,265434.83275663207
2021-01-14,134800.927158327,134634.8022117034,204175.8333796398,279275.6632064591
2021-01-15,134800.927158327,131944.7806931644,200096.3726730891,261471.7416378316
2021-01-19,138228.21872323295,131944.7806931644,207405.5896148543,288249.1349480969
2021-01-20,140350.79582889867,131944.7806931644,216373.8502865075,286149.94232987316
2021-01-21,140856.60825987058,132650.61973602104,217531.34291776663,298546.71280276816
2021-01-22,139620.68136943356,129312.00247713127,212056.4050904124,283700.11534025375
2021-01-25,139620.68136943356,129312.00247713127,212056.4050904124,281264.12918108416
2021-01-26,139620.68136943356,129312.00247713127,212056.4050904124,270459.0542099193
2021-01-27,139620.68136943356,119752.22718076338,194857.89845102208,228890.4267589389
2021-01-28,139620.68136943356,127331.80017582,191771.7722669773,243561.70703575545
2021-01-29,137097.93135738964,127331.80017582,181573.2521753236,234934.25605536334
2021-02-01,140086.00959911835,131649.72566182044,195472.11165657878,258948.09688581314
2021-02-02,140086.00959911835,137518.650397913,204186.22864809062,270371.3956170704
2021-02-03,140677.6211253574,137518.650397913,204186.22864809062,253905.42099192622
2021-02-04,142559.03155760266,137518.650397913,208085.22042789095,257896.1937716263
2021-02-05,143681.39111306472,137518.650397913,212706.35603074753,253993.07958477509
2021-02-08,147672.3941115745,144343.99505952557,221191.00842605584,276752.01845444064
2021-02-09,147286.39200257405,143257.22375799384,219525.6531058351,276078.43137254904
2021-02-10,147286.39200257405,139203.60978762628,219525.6531058351,275713.9561707036
2021-02-11,152752.87654571852,151555.49139822728,231211.34884150943,304622.8373702422
2021-02-12,155681.3756759496,149497.94158963376,235958.7331995923,316747.40484429064
2021-02-16,157459.53563473764,149497.94158963376,243542.98651319387,321074.97116493655
2021-02-17,157459.53563473764,146235.08081130154,238227.5497246856,304862.7450980392
2021-02-18,157255.97486634878,140134.05889998047,227832.74153600377,297019.60784313723
2021-02-19,162199.64965280838,141128.17891061047,238738.2674135749,316442.9065743945
2021-02-22,152660.43265591815,134757.45272320203,209472.83618636365,282237.600922722
2021-02-23,147285.5114341305,134757.45272320203,214211.03005804392,276415.2249134948
2021-02-24,155222.0372216786,142445.04628481643,224386.18952715132,294897.34717416385
2021-02-25,140028.25398816823,140286.62604457533,202851.06374344646,253194.92502883504
2021-02-26,142983.13053309635,140286.62604457533,202839.52149970058,267760.092272203
2021-03-01,145506.24141828372,140286.62604457533,217377.47403215457,291750.8650519031
2021-03-02,145506.24141828372,140286.62604457533,14538.590913317608,17882.35294117647
2021-03-03,147107.0239191212,140286.62604457533,14538.590913317608,16267.589388696655
2021-03-04,137532.2889975647,140286.62604457533,13359.46099152409,13838.523644752018
2021-03-05,142030.07555886524,140286.62604457533,13264.699770404792,15040.369088811998
2021-03-08,131374.31235173118,140286.62604457533,12010.419877209411,12848.904267589389
2021-03-09,136595.83854515117,140286.62604457533,12569.076665438208,14985.005767012684
2021-03-10,136595.83854515117,140286.62604457533,13030.108268174752,14196.078431372549
2021-03-11,136595.83854515117,140286.62604457533,13178.735971852397,15990.772779700113
2021-03-12,136595.83854515117,140286.62604457533,12479.496471926299,15395.617070357554
2021-03-15,138698.60477533092,143855.74813552143,12948.521681369828,16389.850057670126
2021-03-16,139564.4636275997,146388.26785752873,13239.179377361019,17038.062283737025
2021-03-17,140195.05759125142,152240.6693001546,13324.561583881148,17670.12687427912
2021-03-18,139299.32418475518,147443.4821389891,12734.47716799828,15621.683967704728
2021-03-19,139592.25809567404,147443.4821389891,12804.93756461078,15990.772779700113
2021-03-22,141874.71037317227,146085.75694575167,13360.864187919984,17019.607843137255
2021-03-23,143727.93727827916,146771.61860074423,13450.83434400873,15690.888119953863
2021-03-24,142099.42074319033,146771.61860074423,13450.83434400873,15042.675893886964
2021-03-25,142099.42074319033,149623.7094047935,14112.35351782556,15164.936562860437
2021-03-26,152672.13898808355,161647.61511312012,15823.125623581846,17374.855824682814
2021-03-29,151201.34927233696,158045.32016785454,15335.30441371631,16493.656286043828
2021-03-30,149734.52458565697,158045.32016785454,15085.090833401599,16138.408304498269
2021-03-31,157275.62623574995,163106.57492105337,16366.897981224003,17808.535178777394
2021-04-01,162287.27155790542,168338.78709256882,17617.733743742872,19490.19607843137
2021-04-05,164822.68867948567,168338.78709256882,18474.332965144193,20779.700115340253
2021-04-06,160768.86504165697,168338.78709256882,17415.98694936337,19916.95501730104
2021-04-07,159256.83760400716,168338.78709256882,17177.077884308273,19972.318339100344
2021-04-08,162944.03691624175,168338.78709256882,17745.267302945325,20645.905420991927
2021-04-09,163159.02354337223,170500.36932987356,17782.270471029744,20479.815455594002
2021-04-12,162012.42605262581,167055.05241818415,17422.9424682643,19856.978085351788
2021-04-13,162012.42605262581,167055.05241818415,17422.9424682643,19718.56978085352
2021-04-14,156680.28586931917,159176.73233892504,16601.276104388668,18985.005767012684
2021-04-15,160398.38875568638,163754.15231303585,17167.350692908032,19976.931949250287
2021-04-16,160708.33780450176,164181.78551770773,17212.1821007767,19709.342560553632
2021-04-19,160315.0066936583,153617.05596102474,17212.1821007767,18219.14648212226
2021-04-20,161175.39672586255,151504.28197883858,17212.1821007767,17409.45790080738
2021-04-21,167788.58809512586,160222.21140966602,18224.731637076868,18800.461361014994
2021-04-22,166610.1563645469,156982.5418584402,17856.230243640617,17420.991926182236
2021-04-23,168547.46447472775,156982.5418584402,18234.329768658306,18440.59976931949
2021-04-26,172518.04595997327,156982.5418584402,18880.06588190549,19474.048442906576
2021-04-27,173052.73019435274,156982.5418584402,19042.784656379543,19114.186851211074
2021-04-28,173052.73019435274,156982.5418584402,19042.784656379543,18242.214532871974
2021-04-29,173052.73019435274,156982.5418584402,19042.784656379543,18535.17877739331
2021-04-30,166644.37261020724,147743.11415128584,18032.68138868397,16991.9261822376
2021-05-03,169205.97131482651,151184.74888169643,18452.747683524445,16424.452133794694
2021-05-04,168519.85125111643,151184.74888169643,18452.747683524445,15591.695501730104
2021-05-05,165750.33535056753,151184.74888169643,18452.747683524445,15946.943483275663
2021-05-06,167114.10831817432,152992.38633460857,18673.377595394573,16223.760092272201
2021-05-07,168411.01545461646,157639.07661137325,19240.526093340763,17010.38062283737
2021-05-10,167656.9148521499,152934.173398283,18666.272456590046,14749.711649365629
2021-05-11,170644.0815969662,152934.173398283,20230.002818752095,14740.484429065746
2021-05-12,170644.0815969662,152934.173398283,17393.38292948279,12957.324106113032
2021-05-13,170644.0815969662,152934.173398283,16924.779467533284,13476.355247981544
2021-05-14,175013.15161121154,158264.65360181936,18210.67067003515,14742.791234140715
2021-05-17,172577.9348083908,152018.72642290153,17491.98509940571,14325.259515570935
2021-05-18,172577.9348083908,152018.72642290153,17491.98509940571,13942.32987312572
2021-05-19,172577.9348083908,163895.75189826818,19462.66777018313,14786.620530565167
2021-05-20,176569.45587347896,166450.34354528994,20653.562890246114,15953.863898500575
2021-05-21,177526.60480916456,166450.34354528994,21017.9383048137,15732.410611303347
2021-05-24,179014.0137750561,169062.52257322127,21315.69952205713,16825.836216839678
2021-05-25,180293.57454656716,171865.95476090146,21817.323064219236,17044.98269896194
2021-05-26,178778.41911311308,170823.8509075208,21508.513717780148,17123.41407151096
2021-05-27,178942.2712869118,171726.49805833344,21541.071342625746,17448.673587081892
2021-05-28,179615.9015457874,173609.1035601528,21769.28814816487,17928.489042675894
2021-06-01,174771.98131761776,170587.8472038384,20984.066777182143,17651.672433679352
2021-06-02,175235.68724455772,171120.4858570321,21077.135446285192,18089.965397923876
2021-06-03,169709.24485206063,163369.41435253993,19544.507792233373,17098.039215686276
2021-06-04,174830.93615263735,166395.24563480477,20540.460017273126,18269.896193771627
2021-06-07,174152.4583415729,166395.24563480477,20274.24053331363,17951.557093425603
2021-06-08,173008.4320485136,166395.24563480477,20274.24053331363,17596.309111880048
2021-06-09,172028.09191393323,166395.24563480477,20274.24053331363,17374.855824682814
2021-06-10,172959.126634509,169026.24299843627,20435.079181786663,18002.30680507497
2021-06-11,172885.55029250798,169037.80335592054,20407.24768539772,18223.760092272205
2021-06-14,175327.68987462166,174683.00093593035,20823.223193473088,18961.93771626298
2021-06-15,170479.3044221385,167292.11113314587,19884.355040746388,18454.44059976932
2021-06-16,170622.21129847615,169490.0413044094,20145.601214186023,18053.05651672434
2021-06-17,172920.30656479998,171732.42377231884,20412.130991514074,18592.84890426759
2021-06-18,170978.84413850572,166221.74264508157,19757.13094812819,17236.447520184545
2021-06-21,170953.8556308578,166221.74264508157,19756.9569968583,17589.388696655133
2021-06-22,170091.7520813028,166253.41063428216,19572.32682756456,17748.558246828143
2021-06-23,169349.7996887913,166740.2037371333,19444.261941035013,17983.8523644752
2021-06-24,173475.54583647792,174275.93958070202,20125.234121688216,18925.02883506344
2021-06-25,174018.8689515315,175804.59065064252,20301.761419414677,18740.484429065742
2021-06-28,177051.02367516016,181644.38869584064,20811.2714802767,20096.88581314879
2021-06-29,178275.40141968947,180573.4064766858,20957.5861113896,20576.701268742792
2021-06-30,178063.07971555323,180573.4064766858,20883.435626743503,20572.08765859285
2021-07-01,178063.07971555323,180573.4064766858,20883.435626743503,19584.77508650519
2021-07-02,178063.07971555323,180573.4064766858,20883.435626743503,19972.318339100344
2021-07-06,178063.07971555323,180573.4064766858,20883.435626743503,19880.0461361015
2021-07-07,177966.43100214397,180573.4064766858,20883.435626743503,19044.982698961936
2021-07-08,182736.33532963917,182530.73020304582,21109.80142909333,18352.941176470587
2021-07-09,186155.9643895075,186723.63325403386,21594.71348044676,19266.43598615917
2021-07-12,187456.57589861983,189601.44278916597,21927.534084242143,19949.250288350635
2021-07-13,186863.78032364056,184769.9783481307,21726.494248709907,19614.763552479817
2021-07-14,180052.56189510145,183347.11623607672,20592.068817715168,19580.161476355246
2021-07-15,168518.04686887766,166828.78416837603,18736.86303278211,18163.783160322953
2021-07-16,171445.6417061337,169820.06418220632,19072.819469743663,16904.267589388695
2021-07-19,176512.41947176462,169820.06418220632,19641.77820382356,16936.56286043829
2021-07-20,179818.62064063095,174912.71776800154,20108.993926759736,17720.876585928487
2021-07-21,187561.70992194372,186192.43824776242,21461.961089527013,19229.52710495963
2021-07-22,186523.0840466026,183266.90379202508,21124.74166619278,18722.029988465973
2021-07-23,186523.0840466026,183664.90169404843,21124.74166619278,19130.334486735872
2021-07-26,186523.0840466026,181503.973483356,21124.74166619278,19102.652825836216
2021-07-27,184296.17033612134,176422.34025569295,21124.74166619278,18006.920415224915
2021-07-28,185888.55597757085,176422.34025569295,21575.778910116624,18996.539792387543
2021-07-29,188786.4080218071,176422.34025569295,22262.60594614425,20041.522491349482
2021-07-30,189488.2432054979,176422.34025569295,22181.825402960785,20429.065743944637
2021-08-02,187545.6373694539,171777.52486639397,22243.511629498862,20848.904267589387
2021-08-03,187914.4672562268,172083.52556312305,22303.29712687109,21139.561707035755
2021-08-04,187135.53826852754,176491.87997321843,22167.899022414236,21956.17070357555
2021-08-05,187346.03659560892,176749.49116862734,22200.255745951512,21670.12687427912
2021-08-06,185780.88674573338,176131.7194000627,21932.009878804638,21504.0369088812
2021-08-09,187384.81241738104,178285.17156648496,22200.158820678247,21271.04959630911
2021-08-10,186025.95996603373,178285.17156648496,22200.158820678247,20472.895040369087
2021-08-11,184886.52098975738,178285.17156648496,22200.158820678247,20350.63437139562
2021-08-12,184886.52098975738,178285.17156648496,22200.158820678247,19820.06920415225
2021-08-13,184869.83975387024,178297.84855121016,22201.737365162873,20048.442906574393
2021-08-16,184601.2695474206,177531.3927657653,22106.29790703857,19820.06920415225
2021-08-17,184601.2695474206,177531.3927657653,22106.29790703857,18588.235294117647
2021-08-18,184601.2695474206,177531.3927657653,22106.29790703857,17817.762399077277
2021-08-19,187057.3565354009,180941.89733137525,22530.975642993493,18283.737024221457
2021-08-20,187957.87971797457,183388.41183486552,22835.616853798412,18629.75778546713
2021-08-23,187957.87971797457,188939.54983648256,23367.490612325455,20143.02191464821
2021-08-24,187957.87971797457,189168.1301512826,23395.760756744,20154.55594002307
2021-08-25,187957.87971797457,186059.389719307,23395.760756744,20673.587081891583
2021-08-26,187957.87971797457,184313.35786236063,23395.760756744,20627.450980392157
2021-08-27,192094.75354014523,193021.71498113143,24136.20307262043,21822.376009227217
2021-08-30,193768.0834093198,197750.47557413497,24727.506107958685,22006.920415224915
2021-08-31,194105.5731463699,199351.7640985632,24793.99074655731,21573.24106113033
2021-09-01,194181.50924625475,199544.42226426903,24817.952233927932,21264.129181084198
2021-09-02,192791.40322282142,198409.26684246538,24560.456898440956,21328.71972318339
2021-09-03,196303.30653734063,203557.94571781863,25197.79560552075,21868.512110726642
2021-09-07,196303.30653734063,203557.94571781863,25197.79560552075,21554.786620530565
2021-09-08,196303.30653734063,203557.94571781863,25197.79560552075,20662.05305651672
2021-09-09,196303.30653734063,203557.94571781863,25197.79560552075,20987.31257208766
