date,yangbyungi_consensus,yangbyungi_rsi,goldenbyungi,soxl_bnh
2020-07-27,101729.76189480425,101513.54165795373,100000.0,100000.0
2020-07-28,100683.4159185673,100597.9889287464,100000.0,94048.44290657439
2020-07-29,101536.95148792332,101344.19887654542,100000.0,100087.6585928489
2020-07-30,104707.16602047134,104112.20036555672,100000.0,106149.94232987314
2020-07-31,104223.27164003538,103689.75954163849,100000.0,104585.92848904266
2020-08-03,104223.27164003538,103689.75954163849,100334.03846775036,110482.12226066898
2020-08-04,105169.26594088647,104513.26738239758,102040.49859186096,115566.32064590542
2020-08-05,104934.46432376927,104308.86765975128,100869.03265337716,114971.16493656285
2020-08-06,104934.46432376927,104308.86765975128,99483.96534333653,114860.43829296425
2020-08-07,100790.92719273121,100570.94455139505,94771.0254988867,110394.46366782006
2020-08-10,101758.75968304373,101461.27364128707,95810.40512318927,111068.05074971165
2020-08-11,97540.66063171046,97781.22692591713,90832.36372279639,107234.14071510958
2020-08-12,102987.3488724691,102538.37239469936,97232.54623765474,117937.71626297578
2020-08-13,102807.43173683793,102381.07967187368,96796.47733259245,114334.48673587081
2020-08-14,102807.43173683793,102381.07967187368,96796.47733259245,113923.87543252595
2020-08-17,101683.50708649794,101401.72399617784,96680.21096449526,117923.87543252597
2020-08-18,103126.87254477169,102659.43122168991,98385.64272103916,116078.431372549
2020-08-19,103126.87254477169,102659.43122168991,98385.64272103916,113873.12572087657
2020-08-20,102007.50879161837,101684.42744266392,97036.20386510555,111049.59630911186
2020-08-21,102100.36700198191,101765.56269122819,97958.95486251893,113393.31026528259
2020-08-24,103363.02119882956,102867.02348518927,99895.08465924143,116493.65628604383
2020-08-25,103363.02119882956,102867.02348518927,102319.76305032303,120350.63437139562
2020-08-26,103363.02119882956,102867.02348518927,102978.29591140374,121914.64821222606
2020-08-27,103363.02119882956,102867.02348518927,100811.55143343667,117084.19838523645
2020-08-28,103363.02119882956,102867.02348518927,103789.83771894647,123621.68396770472
2020-08-31,101950.59593541757,101637.08183463402,103351.38268491124,123188.00461361014
2020-09-01,105102.87917884138,104382.09394668617,103263.59056180535,129753.1718569781
2020-09-02,105102.87917884138,104382.09394668617,109140.985591788,141750.86505190312
2020-09-03,105102.87917884138,104382.09394668617,109140.985591788,117476.35524798154
2020-09-04,105102.87917884138,104382.09394668617,109140.985591788,114006.92041522491
2020-09-08,105102.87917884138,104382.09394668617,101262.85887604278,97993.07958477509
2020-09-09,105102.87917884138,104382.09394668617,108703.13786586179,106168.3967704729
2020-09-10,105351.68429784918,104629.1927846019,108703.13786586179,101785.46712802767
2020-09-11,100855.56793615333,100681.60973406932,108703.13786586179,101162.62975778547
2020-09-14,105443.16276620408,104668.2265945766,108173.24291873696,108355.24798154556
2020-09-15,104754.14451461019,104069.7664666796,111541.9783315506,113347.17416378317
2020-09-16,105937.70399519823,105097.76994334786,111541.9783315506,110048.44290657439
2020-09-17,105937.70399519823,105097.76994334786,117537.89164891692,109333.33333333333
2020-09-18,105252.99461047968,104418.48932200778,118689.29610074738,104502.88350634371
2020-09-21,107664.56787443848,106810.94226877503,120307.01049820069,103926.18223760092
2020-09-22,107664.56787443848,106810.94226877503,122132.2716247109,107441.75317185698
2020-09-23,107664.56787443848,106810.94226877503,122132.2716247109,99487.8892733564
2020-09-24,109929.46830894204,108496.14953563845,122132.2716247109,102334.48673587083
2020-09-25,110906.3050569749,109219.25348154764,123086.54823303009,106417.53171856978
2020-09-28,114783.35152416208,112336.59985088158,129016.72243669354,115400.23068050749
2020-09-29,113700.59956983812,111411.67193614,130803.60683639422,116811.99538638984
2020-09-30,111583.46802873228,109596.70150046753,130502.55770609067,117287.19723183391
2020-10-01,113959.04121194067,111637.02010361696,134777.2887213988,122389.85005767012
2020-10-02,108587.28796834277,107037.504898788,123650.35694860923,113238.75432525952
2020-10-05,112183.24476978881,110139.06005854087,126779.31353957081,123612.45674740484
