date,R10+RSI 70/60/50,Consensus 80/60/40 (default),Hybrid Cons + (VIX_back OR SOXL_mom5),Hybrid Cons + VIX_back,Hybrid Cons + (VIX_back AND SOXL_mom5),soxl_bnh
2020-07-27,101513.54165795373,101729.76189480425,101729.76189480425,101729.76189480425,101729.76189480425,100000.0
2020-07-28,100597.9889287464,100683.4159185673,100683.4159185673,100683.4159185673,100683.4159185673,94048.44290657439
2020-07-29,101344.19887654542,101536.95148792332,101536.95148792332,101536.95148792332,101536.95148792332,100087.6585928489
2020-07-30,104112.20036555672,104707.16602047134,104707.16602047134,104707.16602047134,104707.16602047134,106149.94232987314
2020-07-31,103689.75954163849,104223.27164003538,104223.27164003538,104223.27164003538,104223.27164003538,104585.92848904266
2020-08-03,103689.75954163849,104223.27164003538,104223.27164003538,104223.27164003538,104223.27164003538,110482.12226066898
2020-08-04,104513.26738239758,105169.26594088647,105169.26594088647,105169.26594088647,105169.26594088647,115566.32064590542
2020-08-05,104308.86765975128,104934.46432376927,104934.46432376927,104934.46432376927,104934.46432376927,114971.16493656285
2020-08-06,104308.86765975128,104934.46432376927,104934.46432376927,104934.46432376927,104934.46432376927,114860.43829296425
2020-08-07,100570.94455139505,100790.92719273121,100790.92719273121,100790.92719273121,100790.92719273121,110394.46366782006
2020-08-10,101461.27364128707,101758.75968304373,101758.75968304373,101758.75968304373,101758.75968304373,111068.05074971165
2020-08-11,97781.22692591713,97540.66063171046,97540.66063171046,97540.66063171046,97540.66063171046,107234.14071510958
2020-08-12,102538.37239469936,102987.3488724691,102987.3488724691,102987.3488724691,102987.3488724691,117937.71626297578
2020-08-13,102381.07967187368,102807.43173683793,102807.43173683793,102807.43173683793,102807.43173683793,114334.48673587081
2020-08-14,102381.07967187368,102807.43173683793,102807.43173683793,102807.43173683793,102807.43173683793,113923.87543252595
2020-08-17,101401.72399617784,101683.50708649794,101683.50708649794,101683.50708649794,101683.50708649794,117923.87543252597
2020-08-18,102659.43122168991,103126.87254477169,103126.87254477169,103126.87254477169,103126.87254477169,116078.431372549
2020-08-19,102659.43122168991,103126.87254477169,103126.87254477169,103126.87254477169,103126.87254477169,113873.12572087657
2020-08-20,101684.42744266392,102007.50879161837,102007.50879161837,102007.50879161837,102007.50879161837,111049.59630911186
2020-08-21,101765.56269122819,102100.36700198191,102100.36700198191,102100.36700198191,102100.36700198191,113393.31026528259
2020-08-24,102867.02348518927,103363.02119882956,103363.02119882956,103363.02119882956,103363.02119882956,116493.65628604383
2020-08-25,102867.02348518927,103363.02119882956,103363.02119882956,103363.02119882956,103363.02119882956,120350.63437139562
2020-08-26,102867.02348518927,103363.02119882956,103363.02119882956,103363.02119882956,103363.02119882956,121914.64821222606
2020-08-27,102867.02348518927,103363.02119882956,103363.02119882956,103363.02119882956,103363.02119882956,117084.19838523645
2020-08-28,102867.02348518927,103363.02119882956,103363.02119882956,103363.02119882956,103363.02119882956,123621.68396770472
2020-08-31,101637.08183463402,101950.59593541757,101950.59593541757,101950.59593541757,101950.59593541757,123188.00461361014
2020-09-01,104382.09394668617,105102.87917884138,105102.87917884138,105102.87917884138,105102.87917884138,129753.1718569781
2020-09-02,104382.09394668617,105102.87917884138,105102.87917884138,105102.87917884138,105102.87917884138,141750.86505190312
2020-09-03,104382.09394668617,105102.87917884138,105102.87917884138,105102.87917884138,105102.87917884138,117476.35524798154
2020-09-04,104382.09394668617,105102.87917884138,105102.87917884138,105102.87917884138,105102.87917884138,114006.92041522491
2020-09-08,104382.09394668617,105102.87917884138,105102.87917884138,105102.87917884138,105102.87917884138,97993.07958477509
2020-09-09,104382.09394668617,105102.87917884138,105102.87917884138,105102.87917884138,105102.87917884138,106168.3967704729
2020-09-10,104629.1927846019,105351.68429784918,105351.68429784918,105351.68429784918,105351.68429784918,101785.46712802767
2020-09-11,100681.60973406932,100855.56793615333,100855.56793615333,100855.56793615333,100855.56793615333,101162.62975778547
2020-09-14,104668.2265945766,105443.16276620408,105443.16276620408,105443.16276620408,105443.16276620408,108355.24798154556
2020-09-15,104069.7664666796,104754.14451461019,104754.14451461019,104754.14451461019,104754.14451461019,113347.17416378317
2020-09-16,105097.76994334786,105937.70399519823,105937.70399519823,105937.70399519823,105937.70399519823,110048.44290657439
2020-09-17,105097.76994334786,105937.70399519823,105937.70399519823,105937.70399519823,105937.70399519823,109333.33333333333
2020-09-18,104418.48932200778,105252.99461047968,105252.99461047968,105252.99461047968,105252.99461047968,104502.88350634371
2020-09-21,106810.94226877503,107664.56787443848,107664.56787443848,107664.56787443848,107664.56787443848,103926.18223760092
2020-09-22,106810.94226877503,107664.56787443848,107664.56787443848,107664.56787443848,107664.56787443848,107441.75317185698
2020-09-23,106810.94226877503,107664.56787443848,107664.56787443848,107664.56787443848,107664.56787443848,99487.8892733564
2020-09-24,108496.14953563845,109929.46830894204,109929.46830894204,109929.46830894204,109929.46830894204,102334.48673587083
2020-09-25,109219.25348154764,110906.3050569749,110906.3050569749,110906.3050569749,110906.3050569749,106417.53171856978
2020-09-28,112336.59985088158,114783.35152416208,114783.35152416208,114783.35152416208,114783.35152416208,115400.23068050749
2020-09-29,111411.67193614,113700.59956983812,113700.59956983812,113700.59956983812,113700.59956983812,116811.99538638984
2020-09-30,109596.70150046753,111583.46802873228,111583.46802873228,111583.46802873228,111583.46802873228,117287.19723183391
2020-10-01,111637.02010361696,113959.04121194067,113959.04121194067,113959.04121194067,113959.04121194067,122389.85005767012
2020-10-02,107037.504898788,108587.28796834277,108587.28796834277,108587.28796834277,108587.28796834277,113238.75432525952
2020-10-05,110139.06005854087,112183.24476978881,112183.24476978881,112183.24476978881,112183.24476978881,123612.45674740484
2020-10-06,107010.09383652937,108537.25637232719,108537.25637232719,108537.25637232719,108537.25637232719,121803.92156862745
2020-10-07,110357.73882112127,112435.97050420188,112435.97050420188,112435.97050420188,112435.97050420188,129430.21914648214
2020-10-08,110279.75459292949,112345.16729353777,112345.16729353777,112345.16729353777,112345.16729353777,133813.14878892733
2020-10-09,113594.54606448254,116204.8414260914,116204.8414260914,116204.8414260914,116204.8414260914,140502.88350634373
2020-10-12,113140.47006009043,115673.97257805633,115673.97257805633,115673.97257805633,115673.97257805633,147386.38985005766
